,lineId,name,team,position,icetime,iceTimeRank,games_played,situation,Player1,Player2,Player3
2478,847929384799778481789,Kartye-Yamamoto-Tanev,SEA,line,704,32,4,5on5,Kartye,Yamamoto,Tanev
2479,847629284775088480002,Palat-Hischier-Lazar,NJD,line,842,40,4,5on5,Palat,Hischier,Lazar
2480,847809984802168482667,Eklund-Peterson-Labanc,SJS,line,714,47,3,5on5,Eklund,Peterson,Labanc
2481,847516684757148477479,Bertuzzi-Tavares-Jarnkrok,TOR,line,1083,184,15,5on5,Bertuzzi,Tavares,Jarnkrok
2482,847341984793658479987,Marchand-Geekie-Frederic,BOS,line,653,369,22,5on5,Marchand,Geekie,Frederic
2483,847079484739948479351,Steel-Benn-Pavelski,DAL,line,5514,36,11,5on5,Steel,Benn,Pavelski
2485,847400984773808482747,Othmann-Bonino-Brodzinski,NYR,line,1100,12,3,5on5,Othmann,Bonino,Brodzinski
2486,847528784762928482110,Palat-Haula-Mercer,NJD,line,826,320,21,5on5,Palat,Haula,Mercer
2487,847168584779428477960,Fiala-Kopitar-Kempe,LAK,line,2583,346,36,5on5,Fiala,Kopitar,Kempe
2488,847747884780208478462,Carrier-Amadio-Roy,VGK,line,969,36,5,5on5,Carrier,Amadio,Roy
2490,847415784779478482148,Pacioretty-Lapierre-Milano,WSH,line,6567,73,17,5on5,Pacioretty,Lapierre,Milano
2491,847579884793168482667,Eklund-Granlund-Kunin,SJS,line,1968,81,7,5on5,Eklund,Granlund,Kunin
2492,847418984764838481703,Rakell-Eller-Puustinen,PIT,line,1239,27,5,5on5,Rakell,Eller,Puustinen
2495,847747684775018479999,Lehkonen-Mittelstadt-Nichushkin,COL,line,1428,42,6,5on5,Lehkonen,Mittelstadt,Nichushkin
2496,847415084763998482679,Coleman-Backlund-Coronato,CGY,line,2855,54,8,5on5,Coleman,Backlund,Coronato
2497,847168584796758482124,Moore-Kopitar-Byfield,LAK,line,1852,127,11,5on5,Moore,Kopitar,Byfield
2498,847576684768228477353,Watson-Glendening-Motte,TBL,line,3748,131,17,5on5,Watson,Glendening,Motte
2500,847646184800158482159,Tippett-Couturier-Foerster,PHI,line,998,360,24,5on5,Tippett,Couturier,Foerster
2501,847686784796718480292,Meyer-Gaunce-Olivier,CBJ,line,3642,21,7,5on5,Meyer,Gaunce,Olivier
2502,847518484764598478458,Kreider-Zibanejad-Roslovic,NYR,line,10598,47,19,5on5,Kreider,Zibanejad,Roslovic
2503,847458684751938477955,Tatar-Mccann-Eberle,SEA,line,4758,29,10,5on5,Tatar,Mccann,Eberle
2504,847843984800288480797,Farabee-Frost-Konecny,PHI,line,2728,313,25,5on5,Farabee,Frost,Konecny
2505,847851984795428482070,Hagel-Cirelli-Chaffee,TBL,line,973,162,12,5on5,Hagel,Cirelli,Chaffee
2506,847062184748708477450,Johnson-Dickinson-Perry,CHI,line,605,10,2,5on5,Johnson,Dickinson,Perry
2507,847686784784588480074,Texier-Gaunce-Roslovic,CBJ,line,1895,15,4,5on5,Texier,Gaunce,Roslovic
2509,847415784779478478440,Milano-Strome-Pacioretty,WSH,line,2595,77,10,5on5,Milano,Strome,Pacioretty
2510,847579884801888480821,Zetterlund-Granlund-Zadina,SJS,line,829,243,20,5on5,Zetterlund,Granlund,Zadina
2512,847350484752318481237,Cizikas-Maclean-Clutterbuck,NYI,line,830,55,5,5on5,Cizikas,Maclean,Clutterbuck
2513,847999684815778481704,Parssinen-Glass-Tomasino,NSH,line,864,31,4,5on5,Parssinen,Glass,Tomasino
2514,847745084793908482117,Reichel-Dickinson-Raddysh,CHI,line,1700,39,5,5on5,Reichel,Dickinson,Raddysh
2515,847847284802088482092,Batherson-Greig-Joseph,OTT,line,952,91,11,5on5,Batherson,Greig,Joseph
2516,847579384774948478420,Drouin-Johansen-Rantanen,COL,line,619,204,17,5on5,Drouin,Johansen,Rantanen
2517,847403784784098479987,Van Riemsdyk-Geekie-Richard,BOS,line,1581,28,5,5on5,Van Riemsdyk,Geekie,Richard
2519,847643884793858480023,Saad-Thomas-Kyrou,STL,line,4688,309,29,5on5,Saad,Thomas,Kyrou
2520,847790384800688482159,Foerster-Poehling-Hathaway,PHI,line,4376,175,19,5on5,Foerster,Poehling,Hathaway
